,Liver Hepatocellular Carcinoma,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,Uterine Carcinosarcoma,Head and Neck Squamous Cell Carcinoma,Breast Invasive Carcinoma,Kidney Chromophobe,Cholangiocarcinoma,Thyroid Carcinoma,Skin Cutaneous Melanoma,Prostate Adenocarcinoma,Testicular Germ Cell Tumors,Glioblastoma Multiforme,Pheochromocytoma and Paraganglioma,Lung Squamous Cell Carcinoma,Pancreatic Adenocarcinoma,Stomach Adenocarcinoma,Colon Adenocarcinoma,Ovarian Serous Cystadenocarcinoma,Bladder Urothelial Carcinoma,Rectum Adenocarcinoma,Adrenocortical Carcinoma,Kidney Renal Clear Cell Carcinoma,Kidney Renal Papillary Cell Carcinoma,Mesothelioma,Lung Adenocarcinoma,Brain Lower Grade Glioma,Esophageal Carcinoma,Sarcoma
Cedars Sinai,0,473,617,0,0,0,0,0,0,0,0,54,0,0,0,0,0,1364,0,0,0,0,0,0,0,0,0,0
University of Michigan,0,0,0,99,0,0,0,491,0,0,0,0,722,0,0,0,311,0,0,175,9669,0,0,0,0,0,876,0
Cureline,44,0,0,0,366,0,0,0,50,0,0,0,0,841,0,0,44,0,0,34,0,241,0,0,387,536,42,0
Medical College of Wisconsin,368,1115,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duke,0,0,0,0,1397,0,0,0,0,0,0,6459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Case Western,0,0,0,0,0,0,0,0,0,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,0
Harvard,0,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,281,0,0,121,0,1580,0,0,0,0,0,0
Moffitt Cancer Center,713,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,538,0,0,0,0,388
Henry Ford Hospital,0,0,0,0,0,0,0,0,0,0,0,3867,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0
BLN - Baylor,289,72,0,0,0,0,0,171,0,61,271,0,0,0,0,0,263,0,341,0,0,199,435,0,1462,0,0,258
Prince Charles Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,8309,0,0,0,0,0,0,0,0,0,0,6951,0,0,0
Alberta Health Services,1421,0,0,0,0,0,77,0,0,0,0,0,0,0,1128,0,0,0,0,0,0,0,0,0,0,0,0,0
ILSBIO,705,107,129,37,953,0,22,176,0,0,0,0,0,173,0,454,132,0,442,0,0,0,95,0,0,0,662,26
Erasmus MC,0,0,0,0,0,0,0,0,0,0,4227,0,973,0,0,0,0,0,641,0,0,0,0,0,0,0,421,0
MSKCC,0,0,388,0,1046,898,0,0,0,0,0,0,0,2971,0,6,1210,0,0,328,0,5329,1456,0,0,434,0,0
Roswell Park,67,51,384,0,1818,0,0,223,0,1583,0,0,122,4904,0,0,498,30,83,79,40,120,534,0,1674,0,0,56
University of Pittsburgh,0,129,129,558,2935,0,0,1932,312,1929,0,0,67,1842,229,0,412,0,322,12,0,4096,98,124,4093,0,0,75
University of California San Francisco,0,0,0,0,0,0,0,0,0,1127,0,0,0,0,0,0,0,0,443,0,0,0,498,0,0,49,0,0
Mayo Clinic - Rochester,4901,0,0,0,0,0,693,0,0,0,0,423,0,4711,0,0,0,1375,0,0,0,0,0,0,0,1619,0,0
Johns Hopkins,0,0,0,300,0,0,0,2642,0,0,0,0,0,11072,0,0,0,0,0,0,0,0,0,0,11370,149,0,0
